,Canon T6i,Canon T6s,Canon T7i,Canon 70D,Canon 77D,Canon 80D,Canon 7D MkII
Announced,2/6/2015,2/6/2015,2/15/2017,7/2/2013,2/15/2017,2/18/2016,9/15/2014
Body Only Price,749,849,749,1199,899,1199,1799
